0.7275637,0.054665208,0.6832234,0.0479393,9;12.780759;116640.0;71,131.66254
0.3087194,0.9420735,0.27707845,0.70771056,3;7.572719;36140.0;90,59.403355
0.6655489,0.09132457,0.9033722,0.45125717,10;12.882145;121250.0;93,139.37335
0.36878288,0.38164306,0.275748,0.69042575,6;11.966572;62690.0;159,102.908
0.46365356,0.76209015,0.78290176,0.99817854,5;11.496501;41640.0;129,91.79267
0.91932774,0.15195823,0.43649095,0.4397998,11;13.36387;121010.0;106,148.32906
0.7499061,0.93063116,0.38656682,0.7982866,5;10.455521;92280.0;115,91.92876
0.17737848,0.15054744,0.59434986,0.33830792,7;11.842439;80220.0;128,110.59338
0.20976752,0.2506613,0.8259658,0.36516118,5;10.747297;88530.0;104,92.86039
0.1722179,0.15865451,0.5874274,0.27417254,7;11.705045;84560.0;123,110.361206
0.75128037,0.64362216,0.57104033,0.08028591,9;12.69459;99020.0;88,129.58344
0.58002484,0.09066445,0.7525099,0.79861695,12;13.419227;123520.0;110,155.52507
0.031418204,0.3165325,0.35791987,0.19908154,2;5.335333;9790.0;67,39.54555
0.8177969,0.011066318,0.41768754,0.76953524,7;11.613508;110800.0;93,112.408035
0.9740357,0.08065438,0.7134062,0.533008,9;12.273114;119250.0;93,129.66454
0.4805745,0.8734515,0.2916565,0.2195251,6;9.697909;71750.0;98,92.92191
0.9498601,0.5958838,0.8204918,0.18874633,9;12.802239;109540.0;100,131.19778
0.63664454,0.3784287,0.3691215,0.13642359,9;12.611393;121800.0;95,131.50816
0.36025482,0.43628287,0.43466103,0.64879364,5;10.685954;88140.0;114,92.58512
0.45731705,0.69596916,0.47268838,0.9509325,5;10.614433;41940.0;116,87.64136
0.4690225,0.54892737,0.8273224,0.03737259,8;12.074814;88590.0;62,118.85146
0.15103155,0.052578986,0.8338662,0.78861445,10;12.653133;112350.0;122,137.55963
0.46030635,0.76125115,0.28057194,0.6313797,3;10.59574;43090.0;125,74.38079
0.19596416,0.34482837,0.17927343,0.96248686,7;10.650427;45920.0;140,101.66066
0.8656868,0.48132795,0.48659062,0.548164,11;12.878052;117350.0;125,145.79091
0.4209717,0.008149564,0.6328698,0.75763553,7;11.566461;112360.0;90,112.329475
0.6998586,0.6310371,0.31532842,0.07025117,10;12.875621;107710.0;92,137.9839
0.5716203,0.34344965,0.37101227,0.2907161,9;12.496535;104170.0;119,129.32916
0.87181455,0.15381926,0.80573094,0.2516958,10;12.496075;130370.0;89,138.4637
0.6162137,0.3839646,0.3743593,0.11490452,10;12.855282;116490.0;99,138.80199
0.6972487,0.14673507,0.9086146,0.29156697,10;12.840071;119690.0;95,139.031
0.19614702,0.17091739,0.80912477,0.2848068,6;11.247832;84870.0;121,101.58189
0.62793326,0.78079724,0.46339923,0.6571403,7;11.365832;89630.0;119,109.26521
0.30557913,0.99892163,0.5399094,0.7960289,2;6.974511;32700.0;80,49.551052
0.635111,0.69405574,0.12625778,0.09269285,10;13.951379;106660.0;93,142.9041
0.49732685,0.79070914,0.027314126,0.6705582,6;11.320538;54800.0;112,98.86917
0.03648448,0.46867168,0.4838438,0.45936418,2;5.3592453;9820.0;72,39.685146
0.6550534,0.26563913,0.39576626,0.47179776,9;11.767281;125520.0;118,128.05598
0.94017243,0.13622487,0.38461083,0.8173707,10;12.33669;136960.0;94,138.4039
0.64623195,0.97758186,0.7704656,0.70204467,4;9.828611;36190.0;101,76.657524
0.8940428,0.39475733,0.598837,0.28392792,8;11.796059;118240.0;92,120.6656
0.97603446,0.6151516,0.07708508,0.36039644,10;13.044765;118530.0;119,139.99025
0.7751207,0.36656213,0.27882224,0.97855663,6;10.410911;133480.0;98,102.42224
0.8992053,0.18089604,0.3738361,0.9205154,10;12.286108;133510.0;100,137.85284
0.43130952,0.27748615,0.33232427,0.8020202,9;13.22357;96760.0;144,132.106
0.31514746,0.7959332,0.4427359,0.12537599,6;9.235028;66130.0;63,90.0248
0.096450865,0.39652163,0.74515325,0.8859586,1;5.974949;24070.0;85,37.381763
0.1708597,0.912659,0.8053907,0.29006612,3;6.8474092;39260.0;74,56.250572
0.13978958,0.93872094,0.09294677,0.29735702,3;5.532297;29220.0;65,49.06439
0.027029812,0.66053116,0.54833466,0.25390804,3;5.6040916;20370.0;67,48.524426
