0.87309104,0.16031323,0.6087846,12;13.429877;122650.0;114;,0.71416116
0.9026848,0.16306493,0.5741737,12;13.429877;123040.0;114;,0.6973303
0.9453142,0.17445458,0.51814604,12;13.429877;123820.0;114;,0.63059616
0.96682197,0.17336427,0.5651028,12;13.429877;123040.0;114;,0.6954607
0.9073995,0.16507152,0.5956964,12;13.429877;123850.0;114;,0.69985265
0.93224645,0.16916785,0.5591507,12;13.429877;123850.0;114;,0.67177886
0.9046283,0.16604161,0.5950632,12;13.429877;123820.0;114;,0.6997018
0.9095721,0.16573383,0.56446475,12;13.429877;121240.0;116;,0.68768907
0.9029374,0.16619088,0.57786167,12;13.429877;121210.0;116;,0.6988549
0.9107172,0.16585584,0.57359016,12;13.429877;123850.0;114;,0.68547845
0.90292627,0.1659345,0.58076876,12;13.429877;123820.0;114;,0.6923233
0.9088219,0.16638261,0.5862876,12;13.429877;123820.0;114;,0.6942163
0.90292627,0.1659345,0.58076876,12;13.429877;123820.0;114;,0.6923233
0.90292627,0.1659345,0.58076876,12;13.429877;123820.0;114;,0.6923233
0.91185635,0.16766284,0.5491515,12;13.429877;123820.0;114;,0.6505118
0.8831268,0.15974706,0.59907126,12;13.429877;122680.0;114;,0.6997852
0.8810266,0.16294773,0.5958901,12;13.429877;122650.0;114;,0.690839
0.86989045,0.15744838,0.6001393,12;13.429877;120070.0;116;,0.71691006
0.87733173,0.16243903,0.5981001,12;13.429877;122650.0;114;,0.6997686
0.90694153,0.16587673,0.57865596,12;13.429877;123820.0;114;,0.6882366
0.9085328,0.16666245,0.5245725,12;13.429877;123820.0;114;,0.63659215
0.93224645,0.16916785,0.5591507,12;13.429877;123850.0;114;,0.67177886
0.93224645,0.16916785,0.5591507,12;13.429877;123850.0;114;,0.67177886
0.8845487,0.16451712,0.5957033,12;13.429877;122200.0;114;,0.6920508
0.8760255,0.1583384,0.59937555,12;13.429877;122680.0;114;,0.6975788
0.90848964,0.16603126,0.5630672,12;13.429877;123820.0;114;,0.669832
0.9035345,0.16757637,0.55655634,12;13.429877;121090.0;116;,0.68230766
0.9062513,0.16589335,0.58749324,12;13.429877;123820.0;114;,0.68941593
0.8630352,0.15910889,0.60036457,12;13.429877;122650.0;114;,0.6990117
0.90572375,0.1659612,0.58581525,12;13.429877;123820.0;114;,0.69809926
0.9081812,0.16579537,0.5779417,12;13.429877;123820.0;114;,0.6855164
0.9081873,0.16573761,0.5762837,12;13.429877;123820.0;114;,0.6850464
0.9443206,0.171972,0.5529844,12;13.429877;123850.0;114;,0.66721416
0.9019802,0.16746585,0.5581464,12;13.429877;121090.0;116;,0.6816766
0.90465945,0.16787836,0.57360476,12;13.429877;123370.0;114;,0.6857337
0.9112737,0.16710049,0.54724514,12;13.429877;123790.0;113;,0.64092815
0.9029374,0.16619088,0.57786167,12;13.429877;121210.0;116;,0.6988549
0.9029374,0.16619088,0.57786167,12;13.429877;121210.0;116;,0.6988549
0.90474844,0.16582662,0.5794831,12;13.429877;123820.0;114;,0.68494785
0.8808577,0.16009082,0.60990226,12;13.429877;122650.0;113;,0.70045733
0.9100025,0.1657457,0.5757069,12;13.429877;123430.0;113;,0.6942944
0.8703931,0.16042379,0.5994441,12;13.429877;122230.0;113;,0.71355754
0.9671466,0.1751098,0.4831914,12;13.429877;123430.0;113;,0.6093067
0.9546229,0.17744066,0.52007425,12;13.429877;123670.0;113;,0.61474395
0.90884465,0.1657191,0.57117325,12;13.429877;123400.0;113;,0.6881656
0.87433994,0.15830654,0.59921205,12;13.429877;122260.0;113;,0.7114714
0.9530327,0.17572445,0.50779223,12;13.429877;123820.0;114;,0.62364495
0.8812455,0.16030437,0.6099137,12;13.429877;122650.0;113;,0.69383395
0.88152945,0.16049646,0.6062677,12;13.429877;122650.0;113;,0.6937248
0.91172695,0.16709724,0.5992661,12;13.429877;123790.0;113;,0.6883008
